Spanish,English
de,from
a,to
la,the
el,the
es,it is
y,and
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,me
eso,that
sí,Yes
su,its
tu,your
aquí,here
del,of the
al,to the
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
nos,us
tú,your
nada,any
cuando,when
este,this
sé,he
estás,these
así,So
puedo,Can I
cómo,excuse me
quiero,want
tiene,have
o,or
él,he
fue,it was
ser,be
hacer,do
son,are
todos,everybody
era,was
eres,are
vez,time
ella,she
ese,that
puede,may
sabes,you know
hola,hello
sus,their
porque,because
dios,God
dónde,where
quieres,want
favor,favor
esa,this
tiempo,weather
verdad,truth
estaba,was
